text,review,bookname
"100 Pedaços de Mim é mais um título de Lucy Dillon pela editora Arqueiro, que também publicou Lições Inesperadas Sobre o Amor. Com tradução de Natalie Gerhardt, entrega uma leitura sensível por meio de uma leve e doce narrativa.Depois de um doloroso término de casamento, Gina precisa recomeçar a vida. Ao se mudar para um novo apartamento, decide também manter consigo apenas 100 itens indispensáveis, desapegando-se de todo o resto. Conforme vai avaliando o que será ou não doado, ela também repensa a própria vida, revisitando lembranças difíceis e procurando meios de seguir em frente.Em terceira pessoa, a narrativa acompanha a perspectiva de Gina e é bastante próxima de suas emoções e pensamentos. Dessa maneira, é possível que o leitor se conecte com a protagonista, testemunhando seus anseios e inseguranças. Além disso, há alternância entre passado e presente, de maneira que tanto a história atual da protagonista é desenvolvida quanto as peças de seu passado pouco a pouco são reveladas, o que ajuda na compreensão de suas dificuldades. Também, essa estrutura ajuda na manutenção de certo suspense no enredo, uma vez que é criado um segredo em relação ao passado de Gina, alimentando, assim, a curiosidade de quem lê.Apesar disso, demorei para engrenar em 100 Pedaços de Mim. Como há muitas situações e problemas sendo desenvolvidos, fiz uma leitura mais vagarosa e até mesmo desatenta, não conseguindo me envolver. Isso só veio a acontecer mais ao final, quando Gina passa a caminhar em direção à resolução de seus conflitos. Porém, de modo geral, o desenvolvimento do livro é morno.100 Pedaços de Mim aborda principalmente a dificuldade em lidar com mudanças abruptas, situações típicas em que a vida causa perdas e separações, trabalhando também questões familiares e relacionamentos amorosos. Gina está em busca de se redescobrir após todos os traumas vividos, ao passo em que precisa lidar também com um intenso sentimento de culpa. A perspectiva da morte é outra constante para ela, de maneira que a protagonista se vê forçada a encarar a vida. Nesse ponto, Lucy Dillon trabalha os temas com bastante suavidade e delicadeza, proporcionando uma perspectiva sensível e gentil sobre eles. Especialmente o final do livro me surpreendeu, sendo bastante real em relação à condição de Gina e capaz de acolher quem passa por situações similares, além de atentar para a questão da prevenção de saúde.Para quem procura uma leitura leve, e para ser feita aos poucos, que reflete de maneira singela sobre o estar vivo, 100 Pedaços de Mim é uma boa recomendação. Embora haja um romance sendo desenvolvido na trama, ele não é o foco dela, estando Gina no centro da narrativa. Lucy Dillon entrega uma história que nos faz pensar sobre como desfrutar da vida, apesar dos percalços que muitas vezes nos são impostos, e sobre as dificuldades que surgem enquanto tentamos lidar com eles. A perspectiva é doce e reconfortante, sem ser forçadamente idealizada.",1,100_pedacos_de_mim
Orelha de Livro: Adicione,2,12_anos_de_escravidao
"Os 12 Signos de Valentina promete risadas, romance, astrologia e uma protagonista curando seu coração partido — e cumpre. Porém, o livro de Ray Tavares vai além, trazendo também uma história de autodescoberta aliada a uma percepção essencial da sociedade brasileira e do contexto de vida das personagens descritas.Isadora não consegue superar o término de seu relacionamento. Também, após seis anos de namoro, ela descobre em meio à comemoração de seu aniversário que seu ex a traiu com uma de suas melhores amigas. Quando sua prima resolve forçá-la a sair para uma noitada em uma tentativa de animá-la, Isadora descobre a astrologia e que ela e o ex jamais dariam certo, considerando-se a incompatibilidade de seus signos. Obcecada pelo assunto, ela decide aliar sua mais nova obsessão a um projeto investigativo de seu curso de jornalismo e cria “Os 12 Signos de Valentina”, um blog onde ela contará suas experiências beijando cada um dos signos do zodíaco.Ray Tavares nos faz mergulhar na leitura desde os primeiros parágrafos. A narrativa em primeira pessoa é extremamente ágil, além de divertida pelas inúmeras piadas muito bem inseridas pela autora. Suas observações, muitas vezes ácidas, combinam perfeitamente bem com o humor ariano de Isadora, além de nos remeter à própria autora — ou ao menos ao que ela apresenta sobre si. Basta acompanhá-la em suas redes sociais que se torna completamente possível enxergar Ray Tavares em cada uma das linhas de seu texto.Não apenas pela escrita, a fluidez de Os 12 Signos de Valentina se dá pelo próprio enredo. Os episódios não demoram a acontecer e temos a todo momentos novas situações na trama, fazendo com o que livro seja extremamente rápido de ser lido. Ainda, ficamos ansiosos por cada novo encontro de Isadora, ansiando tanto pelas fichas astrológicas que ela cria de seus parceiros quanto pelas próprias descrições dos encontros. Os posts de seu blog são simplesmente deliciosos de serem lidos.Gostei, também, de como as personagens foram desenvolvidas. Ainda que os encontros do projeto Valentina sejam estereótipos dos signos a que pertencem justamente para caberem na descrição da protagonista, as personagens principais recebem características próprias, que vão além da astrologia. O próprio processo de amadurecimento de Isadora é um dos pontos altos do livro, mostrando o quanto ela aprende a ser feliz por si, independentemente de estar ou não com outra pessoa — o que não impossibilita o romance, que continua sendo central no enredo. Junto de Isadora, nos apaixonamos pelo mocinho da história e torcemos pelo tão esperado final feliz e suspirante entre ambos. Vale ressaltar, também, a sensibilidade com que a autora aborda a dor da personagem, respeitando cada uma de suas fases e demonstrando a importância delas serem de fato sentidas, antes de poderem ser superadas.Porém, o que torna Os 12 Signos de Valentina uma leitura completamente válida é a inserção que Ray Tavares faz da trama no contexto sócio-político brasileiro, permitindo aos leitores compreenderem parte da realidade em que vivemos. Isadora faz observações o tempo todo sobre os diversos privilégios de determinadas figuras sociais, sobretudo os de classe e gênero. Dessa maneira, o livro vai além de seu enredo e nos possibilita olhar e refletir sobre nossas próprias condições, cumprindo, assim, sua também função social.Em linhas gerais, me encantei por Os 12 Signos de Valentina tanto pelo rápido envolvimento que me proporcionou, culminando em uma leitura deliciosamente divertida, quanto pelas temáticas abordadas pela autora. Ainda, foi impossível não me sentir “em casa” virando as páginas do livro, já que estudo na mesma universidade que Isadora e frequento tantos dos lugares mencionados na obra. Contudo, independentemente de se conhecer ou não o cenário da história, é quase impossível não se identificar ao menos em um aspecto durante a leitura. Afinal, praticamente todos nós já tivemos nosso coração partido, além de já termos mergulhado em alguma mania para sermos capazes de seguir em frente em determinadas situações. E que atire a primeira pedra quem nunca entrou em um site de astrologia buscando no zodíaco respostas ou conforto para algumas de nossas tantas questões existenciais — ou só mesmo para descobrir se o signo do crush combina com o nosso.",3,12_signos_de_valentina_os
"Ouço falar de Os 13 Porquês, livro de estreia de Jay Asher publicado no Brasil em 2009 pela editora Ática, praticamente desde que passei a frequentar a blogosfera literária, em 2011. Depois de cinco anos, me junto ao time daqueles que indicam o livro com avidez.Voltando da escola, Clay recebe em sua casa um pacote contendo sete fitas cassetes. Elas foram gravadas e enviadas por Hannah, por quem ele foi apaixonado, antes de seu suicídio. Em cada lado das fitas, a garota conta sua história dirigindo-se especificamente a uma pessoa, a fim de explicar o que a levou à sua decisão final e atribuindo a cada um sua responsabilidade na história. Ao todo, ela define 13 pessoas – seus 13 motivos – e cada uma delas receberá o pacote em ordem de menção nas fitas, tendo que ouvir todas elas para entender seu papel na decisão de Hannah e, depois, enviá-las à pessoa seguinte. Os 13 Porquês é um livro incrível por conseguir reunir uma narrativa envolvente, uma história estruturada de maneira inusitada e cativante, principalmente por conter um suspense sempre ativo, e uma mensagem importantíssima. Cada leitor se sentirá mais afeiçoado por uma determinada característica, mas é bem provável que, como no meu caso, o conjunto delas faça do livro admirável.Em primeira pessoa, a narrativa se dá tanto pela perspectiva de Clay, enquanto ouve as fitas, quanto pela de Hannah, através das fitas. Porém, diferentemente das histórias que trazem tais narrativas alternadas em diferentes capítulos, aqui ambas se dão concomitantemente, de forma que temos as reações de Clay imediatamente após ao exposto por Hannah, que, por sua vez, é entrecortado pela voz do garoto. Por questões puramente de estrutura literária, achei sensacional o papel duplo atribuído por Hannah como narradora: ainda que, em sua história, ela seja vítima das situações que a acometeram, ela assume papel de vilã no sentido de despertar terror em Clay – e em todos que ouvem sua narrativa – ao apontar suas responsabilidades em seu suicídio.É esse terror e a expectativa sobre o que mais Hannah terá a narrar que criam o suspense de Os 13 Porquês e conduzem o leitor por cada página, lida com cada vez mais avidez, a fim de entender o cenário completo que se formou no contexto de vida de Hannah. E conforme esse cenário é montado, as mensagens do autor vão sendo transmitidas: as questões de gênero, já que muitos dos diversos assédios sofridos por Hannah tem como origem única e exclusivamente o fato dela ser do sexo feminino; a depressão em si e como uma ausência de tratamento pode levar ao suicídio – e ambos devem receber a atenção devida; mas, principalmente, a sensação de efeito dominó, como cada minúscula atitude de alguém, independentemente se de forma consciente ou não, pode afetar tão significantemente a vida de outra pessoa, ainda mais quando já existe uma condição prévia de desestrutura emocional e psicológica.Os 13 Porquês me prendeu desde o início por já começar de forma impactante, afinal, o suicídio de Hannah é o ponto de partida da leitura, e me manteve imersa em sua narrativa tanto pela habilidade de Jay Asher como escritor quanto – e principalmente – pelas próprias mensagens transmitidas. Esse é um dos típicos livros que, apesar de juvenil, podem ser lidos por leitores de todas as idades por chamar a atenção da seriedade dos distúrbios mentais e por ser um lembrete constante de que somos capazes de afetar a vida de outras pessoas de maneiras que jamais poderíamos prever. Justamente por isso, devemos estar sempre alertas e agir da melhor maneira que pudermos.",4,13_porques_os
"1943 é o romance nacional autopublicado em formato de eBook por Luciana Klanovickz, que, sendo também professora de História, reuniu sua paixão pela área à arte para dar vida à trajetória de Maria e Phillip em meio aos acontecimentos da Segunda Guerra Mundial.Filha de diplomatas brasileiros, Maria procura sobreviver durante o período de guerra ganhando a vida como cantora em um bar na França ocupada pelos alemães. É assim que ela conhece Phillip, professor e matemático inglês — ao menos, até onde ela sabe. Na realidade, seu amante é espião, o que coloca ambos diretamente sob as vistas dos nazistas. Durante uma invasão, Phillip foge enquanto Maria é levada como prisioneira. Em meio a reviravoltas e caminhos opostos, ambos tentarão não apenas salvar suas vidas, mas também encontrar meios de finalmente se reencontrarem. A narrativa de 1943 se dá em terceira pessoa, alternando-se de acordo com a perspectiva das diferentes personagens que fazem parte da trama, não simplesmente se atendo a de Maria e Phillip. Dessa maneira, é possível acompanhar, simultaneamente, diferentes facetas da mesma guerra, de acordo com o que cada um vivencia.O que mais me agradou na leitura foi a forma de como a autora explorou os conflitos pessoais das personagens. A guerra coloca absolutamente tudo em perspectiva e em 1943 somos capazes de compreender as difíceis decisões muitas vezes tomadas quando a sobrevivência é o que fala mais alto. Assim, há um caráter sobretudo humano na história.Também, o fato de Luciana ser historiadora contribui para que 1943 seja muito bem contextualizado. Entretanto, os fatos históricos, embora presentes, não são o centro do enredo e nem assumem um papel de destaque. Eles estão lá, fazendo parte da história e, muitas vezes, influenciando nos acontecimentos, mas sem serem centrais. O foco está na história vivida pelas personagens, ainda que em meio a um momento histórico. Dessa forma, atrocidades cometidas durante o conflito, por exemplo, estão presentes no enredo, mas não a ponto de sobrecarregá-lo ou tornar o livro pesado pela dificuldade do período.Apesar de ter gostado da leitura e de não ter encontrado dificuldades em me envolver com a história, que pode ser lida rapidamente, não consegui realmente me conectar com as personagens e os eventos em um nível mais emocional e sensitivo. Isso porque a narrativa se dá sobretudo por um sumário narrativo em vez de cenas, o que, em uma rápida explicação, significa que os acontecimentos são principalmente contados em sequência em vez de demonstrados. Pude acompanhar a trama, mas não necessariamente senti o impacto que ela poderia ter me causado, ainda mais considerando a própria temática abordada. Os diálogos, também, em alguns momentos destoaram do restante da escrita por assumirem um tom mais artificial, o que não senti durante a narrativa em si.De qualquer maneira, a história de 1943 é belíssima e capaz de encantar os românticos de plantão especialmente por trazer um amor tão forte em meio a suas páginas. E, como mencionado, o livro vai além, abordando as diferentes facetas de cada um de nós quando em meio às dificuldades, que nos forçam, muitas vezes, a agir e a descobrir reações que jamais imaginaríamos em outras circunstâncias.Esta postagem é um publieditorial.",5,1943
"1984, clássico de George Orwell, era um dos livros que configurava em minha lista de desejados há muito tempo, mais precisamente como uma das leituras praticamente obrigatórias em minha experiência como leitora. Sendo um dos pais das distopias, inspirou diversas obras atuais, além do Big Brother, programa de reality show famoso mundialmente. Narrado em terceira pessoa, o livro traz a história de Winston no ano que dá nome à obra, em Londres, pertencente à Oceânia, superpotência controlada pelo Partido, governo totalitário comandado por seu líder e símbolo, o Grande Irmão. O protagonista pertence ao Partido Externo, classe social intermediária ao Núcleo do Partido, a mais privilegiada, e aos “proletas”, a mais desfavorecida e predominante. Além da Oceânia, há duas outras superpotências, a Eurásia e a Lestásia, constantemente em guerras entre si. Winston, enquanto vive pressionado a aceitar o sistema vigente, acaba por, intimamente, se rebelar contra ele e, ao conhecer Julia, por quem se apaixona, ambos partem em uma revolta secreta contra o Partido, unidos pelo amor entre si e pelo desejo de liberdade.Primeiramente, é interessante acompanhar as características da sociedade descrita, bem como cada uma delas influenciou tantas das distopias contemporâneas, lidas não só por jovens, mas por leitores de todas as idades: a hierarquização das classes sociais; a opressão e a violência do governo; a alienação e distorção da verdade como forma de controle. Particularmente, foi impossível não me lembrar, em especial, de O Doador de Memórias, de Lois Lowry, principalmente pela tentativa do governo de controlar as emoções e as relações humanas e familiares.Além disso, a própria escrita de George Orwell é digna de atenção. Ao mesmo tempo em que parece haver certa distância e simplicidade em suas palavras, há momentos de maior intensidade e de sensibilidade, inclusive no que diz respeito à relação entre Winston e Julia. Há certo romantismo entre eles que não esperei encontrar durante a leitura, e fiquei surpresa com a narrativa delicada e quase poética de Orwell nesses momentos. Porém, o grande trunfo de 1984, para mim, está na construção psicológica da trama. É a maneira de como o Partido consegue influenciar a mente dos indivíduos que garante poder a ele, e chega a ser aterrorizante o nível atingido pelo ser humano, aquilo que ele passa a ser quando tomado por uma verdade distorcida. George Orwell foi capaz de demonstrar com maestria a desintegração humana e da sociedade justamente por ter conseguido revelar as fraquezas e a crueldade dos homens; 1984 não é apenas uma crítica aos governos totalitários, mas, acima de tudo, um alerta sobre a corrupção e subversão do homem, mal a que está submetido quando exposto aos seus piores temores. 1984 não proporciona uma leitura rápida ou frenética, o que não significa não ser uma boa leitura ou, até mesmo, desinteressante. Ao contrário, é um prato cheio a qualquer um que souber apreciar suas particularidades e grandiosidade. George Orwell, em seu último romance, descreveu uma sociedade futurística um tanto quanto temida. Hoje, distante há mais de 30 anos da época por ele imaginada, sua obra continua atual no que diz respeito aos perigos sofridos pelo homem quando suas maiores fraquezas são expostas, e quando há o inesgotável desejo de poder aliado à mais profunda crueldade da própria alma humana.",6,1984
"Orelha de Livro: AdicioneGemma Townley é irmã de Sophie Kinsella. Meu primeiro contato com a autora foi através deManual Para Românticas Incorrigíveis, um dosmeus chick-lits favoritos. Tive uma pequena decepção quando liQuando Em Roma, seu primeiro livro, e minha primeira boa impressão foi restabelecida ao lerMentirinhas Inocentes. Assim, fiquei extremamente feliz ao saber que a editora Record publicaria1 Milhão de Motivos Para Casar, primeiro livro da trilogia protagonizada por Jessica Wild – e os únicos três livros da autora que ainda não haviam sido publicados no Brasil.Já inicio a resenha dizendo que amei a leitura. Li o livro de uma só vez, em poucas horas, porque não tive vontade de deixá-lo de lado. Fui conquistada desde o início tanto pela trama quanto pela escritaextremamente fluida de Gemma Townley, que conta a história através da narrativa de sua protagonista, Jessica Wild, em primeira pessoa.Ao começar a leitura, fiquei curiosa pela trama em si, afinal, a ideia de Jessica precisar se casar com alguém que ela não deseja e em um prazo de tempo tão curto é, no mínimo, inusitada. Depois, conforme fui avançando as primeiras páginas, outras características foram me conquistando: Jessica, ao mesmo tempo em que, em partes, é uma típica protagonista de chick-lits, uma vez que se envolve em uma gigante confusão e em diversas mentiras, também se mostrou bastante atípica. Aqui, temos uma jovem que busca se distanciar de relacionamentos porque enxerga o amor como uma fraqueza, principalmentepor sua rígida criação. Além disso, Jessica se preocupa em ser valorizada por sua inteligência e desempenho profissional, e pouco se preocupa com sua aparência física, bem como não se interessa pela moda.Ainda, outros motivos para impulsionar minha leitura se deram logo nos primeiros capítulos. Neles, Jessica tanto atinge importantes conquistas profissionais, capazes de me fazer vibrar por ela por conta da situação em que se deram, quanto passa por um processo total de transformação, algo quesempre adorei acompanhar em livros e filmes do gênero. Além de divertido por imaginar seu “antes” e “depois”, foi interessante observar as consequências disso em sua visão sobre si mesma.Depois do início bastante promissor, o enredo se desenvolve de forma previsível, mas ainda assim proporcionando uma leitura divertida e agradável. O romance se estabelece aos poucos, de maneira coerente à personalidade da personagem. Uma observação interessante está em uma das inspirações da autora para escrever o livro: Gemma Townley se inspirou emA importância de ser prudente, deOscar Wilde, para contar a história de Jessica. Nacomédiade Wilde, “os personagens, pessoas distintas da sociedade vitoriana, mantêm disfarces e nomes fictícios como válvula de escape para uma realidade em que as aparências contam mais que a verdade” (retirado da sinopse da editoraL&PM).A conexão entre as obras se dá tanto pela temática davalorização dasaparências e pela presençadedisfarces, já que Jessica assume uma nova personalidade para dar continuidade ao Projeto Casamento, quanto pela referência no título original de Townley ao livro de Wilde: The Importance of Being Earnest(livro de Wilde, sendo que “Earnest”tanto significa “honesto”, “prudente”, “sério”, quanto tem a mesma pronúncia deErnest, protagonista) eThe Importance of Being Married (livro deTownley, e “A importância de ser casado”, em livre tradução).Ao final,1 Milhão de Motivos Para Casar desempenhou comigo muito bem seu papel de chick-lit, proporcionando uma leitura divertida por conta de todas as confusões nas quais a protagonista se envolve, além de ter desenvolvido muito bem o processo de amadurecimento de Jessica. Mais do que uma história sobre uma mulher tentando garantir sua herança para honrar o último desejo de sua amiga, temos uma mulher descobrindo o verdadeiro significado de um casamento. Agora, espero que a editora Record também publique os próximos dois livros de Jessica Wild e que esses lançamentos não demorem a acontecer, afinal, terminei a leitura com um gostinho de “quero mais”.",7,1_milhao_de_motivos_para_casar_jessica_wild_1
"Em sua adolescência, Renato Manfredini Jr. – que viria a se tornar Renato Russo, líder da Legião Urbana, uma das maiores bandas brasileiras -, foi acometido pela epifisiólise, uma rara doença óssea. Durante sua recuperação, Renato preencheu folhas e mais folhas sobre uma banda por ele imaginada, a 42nd St. Band. Agora, a Companhia das Letras reuniu esses escritos, formando o romance fragmentário The 42nd St. Band, belissimamente ilustrado com representações dos álbuns da banda, manuscritos e figuras diversas, inclusive que simulam revistas nas quais os integrantes foram entrevistados. Como originalmente os textos foram redigidos em inglês, a tradução é de Guilherme Gontijo Flores.A história da banda começa com o encontro de três primos na infância, Eric, Jesse e Nick. Temos o relato do crescimento dos três, bem como dos episódios que influenciaram sua inserção no meio musical, e pouco a pouco reunimos as informações que nos permitem compreender a trajetória da 42nd St. Band.Recheado de referências musicais dos anos 1960 e 1970, principalmente, The 42nd St. Band, contudo, não é formado por uma narrativa convencional. A organização da editora permitiu que uma das primeiras partes do livro seja a que traz o bloco de texto mais longo, mais próxima da estrutura de um romance no sentido de contar uma história de maneira linear e no caso, através da visão de Nick.Nesse “capítulo”, o personagem narra em detalhes a trajetória dos primos rumo ao surgimento da banda enquanto responde a uma pergunta em uma entrevista, até onde podemos supor, sobre seus primeiros anos de formação musical. Por consequência, a escrita é direta e fluida, acompanhando a fala do astro do rock, e recheada de jargões. Há outros trechos similares, que também funcionam como respostas a uma pergunta, nos quais temos algum episódio sendo narrado. Entretanto, eles são menos extensos do que esse inicial.Ainda, há diversos outros formatos diferentes de narrativas: cenas de ensaios e shows da banda, nos quais é possível visualizar como Renato imaginava a reunião entre os integrantes; diferentes resumos cronológicos, que esquematizam os acontecimentos principais sobre a 42nd St. Band nos períodos selecionados; discografias; entrevistas diversas; letras de músicas; informações sobre as turnês da banda etc. Como cada um dos escritos de Renato foram feitos de maneira separada e não necessariamente representavam uma unidade fechada, há divergências de informações bem como lacunas de acontecimentos – foi a organização da editora que permitiu a apresentação de The 42nd St. Band como um livro.O que mais achei incrível na leitura foi ter mais uma evidência da grandiosidade da mente criativa de Renato Russo. A 42nd St. Band foi a concepção de um jovem confinado em seu quarto, como muitos atualmente fazem ao, por exemplo, criarem fanfics e histórias diversas; entretanto, é fantástico notar o quão palpável essa banda foi para ele. Renato não apenas pensou nos integrantes e em suas funções; ao contrário, deu histórias individuais – repletas de detalhes -, definiu passo a passo o curso da banda, criou letras de músicas e títulos para elas, e não me surpreenderia descobrir que ele chegou a imaginar melodias para as canções, algo que, infelizmente, não seria possível de se testemunhar no livro. “Aloha”, inclusive, título de uma das músicas da 42nd St. Band, aparece em A Tempestade, sétimo álbum da Legião Urbana.Há, também, ao final, uma parte reservada aos trabalhos extras de Eric Russel, como um texto filosófico escrito em sueco – e aqui, como não há tradução e desconheço o idioma, não sei dizer seu conteúdo – e cenas de uma peça de teatro escrita por ele. É curioso, porém, que há a aparição da troca do sobrenome de Eric de Russel para Russo, o mesmo que Renato viria a adotar futuramente. Ainda, há traços de personalidade compartilhados por ambos, conforme apontado na nota editorial que abre o livro, o que nos faz pensar no personagem como um alter ego de Renato. Essa e tantas outras evidências ao longo do livro demonstram o quanto a concepção da 42nd St. Band ressoa na própria Legião Urbana.A leitura de The 42nd St. Band seria interessante por si só simplesmente por acompanhar a história de uma banda fictícia, tão tangível que se torna difícil imaginá-la como irreal. Porém, o livro alcança outras dimensões por revelar ainda mais sobre Renato Russo e sua capacidade criativa, bem como sua visão de mundo, e tais dimensões são ainda mais intensificadas se pensarmos que essa foi a criação do adolescente, e não do artista já formado e consagrado como uma das mais importantes figuras no cenário do rock nacional.",8,42nd_st_band_the
"FICHA TÉCNICAAno de Publicação (nova edição): 2022Compare e compre: Amazon ♥ Americanas ♥ SubmarinoRESENHA: Os 8 Disfarces de OttoOs 8 Disfarces de Otto é o mais recente lançamento de Lola Salgado pela editora HarperCollins Brasil. Romance jovem adulto, é o primeiro da autora a inserir, também, toques de fantasia no enredo, o que confirma a versatilidade de Lola como escritora, que, embora escreva dentro do gênero romântico, transita muito bem entre comédia e drama, público adulto e juvenil.Otto é apaixonado por Bruno há 5 anos, desde que o encontrou em um consultório médico. De lá para cá, quase não tiveram contato, tanto por Otto ser tímido quanto por sofrer bullying nas mãos de Vinícius, melhor amigo de Bruno. Mas Otto guarda um segredo: ele é capaz de se transformar em outras pessoas, reais ou imaginadas. É quando ele começa a se questionar se vale a pena ser outra pessoa para se aproximar de quem ama.Em terceira pessoa, Os 8 Disfarces de Otto é narrado pela perspectiva do protagonista, Otto, na quase totalidade do livro. Na segunda parte da obra, há a alternância para a perspectiva de Vinícius, que configura como um dos pontos altos da leitura. Além da reviravolta presente, a possibilidade de explorar o personagem foi muito bem-vinda, sobretudo por Lola Salgado não minimizar ou justificar as atitudes do vilão: apesar de sua bagagem, elas são reconhecidas como erradas. Mais do que tudo, a significação em termos de fantasia e contraposição entre herói e vilão foi uma sacada perfeita da autora.Um dos aspectos que mais gostei na leitura é como Lola Salgado não diminui a adolescência, retratando muito bem os personagens, suas inseguranças e características gerais: são dotadas de sexualidade própria, humor ácido e personalidade típica dessa fase da vida, com preocupações que são próprias da idade. Além disso, as referências em Os 8 Disfarces de Otto são citadas de forma muito natural e orgânica, contribuindo para seu tom leve e divertido.Apesar do tom, o romance não deixa de abordar questões importantes, como identidade e amor próprio, orientação sexual, bullying e racismo, entre outras. Fica, também, o destaque para a relação de Otto com a mãe, uma personagem completamente apaixonante e que aparece em uma passagem que muito me emocionou. Outra relação fundamental é a do protagonista com Khalicy, sua melhor amiga. Embora secundária, Khalicy é bastante presente e cativa por sua personalidade, além da amizade entre os dois ser muito bonita.Em linhas gerais, Os 8 Disfarces de Otto me proporcionou uma leitura deliciosa e divertida, com passagens emocionantes e personagens marcantes. O final é digno de uma comédia romântica do melhor tipo, que ganha ainda mais força pela representatividade proporcionada. É muito saudável que nem todas as narrativas LGBTQIA+ sejam sobre ódio e violência, para que as pessoas dessa comunidade também se vejam incluídas em narrativas de amor e heroísmo.",9,8_disfarces_de_otto_os
"Orelha de Livro: Adicione@mor, de Daniel Glattauer, foi mais um dos livros que permaneceu por anos intocado em minha estante, contrariando minha curiosidade em lê-lo. Após finalmente conhecer a história de Emmi e Leo, posso compartilhar minha própria experiência com a leitura.Logo nas primeiras páginas pude compreender o fascínio despertado entre os leitores na época do lançamento do livro. É praticamente impossível não se envolver com as personagens e, principalmente, não se sentir curioso, tanto com os acontecimentos quanto com os protagonistas. Como toda a narrativa se dá por meio de emails, apenas temos conhecimento daquilo que os próprios Leo e Emmi compartilham entre si, sem sabermos do cenário que compõe suas vidas ou, até mesmo, como são fisicamente.Não simplesmente impulsionados pela curiosidade, os diálogos travados entre eles são tão interessantes a ponto de envolverem o leitor de forma ser inimaginável interromper a leitura. Emmi e Leo escrevem, em um primeiro momento, motivados pelo mistério e o divertimento, perceptíveis em cada uma de suas palavras. Aos poucos, a conexão se estabelece de tal forma que a profundidade da escrita se torna assustadoramente tocante.Contudo, ao mesmo tempo em que me senti fascinada pela capacidade de envolvimento do autor com sua escrita, fui tomada por um controverso sentimento ao avançar das páginas: a situação das personagens me fazia tanto discordar do desenvolvimento dos fatos quanto dificultar a minha compreensão sobretudo da motivação de Emmi. Esse incômodo tornou inevitável minha avaliação final da leitura.Acredito que, até o momento, eu ainda não saiba dizer se gostei ou não do livro. Desconsiderando meu incômodo, foi uma leitura maravilhosa. Por outro lado, não consigo sucumbir ao romance por desaprovar os rumos tomados por ele.O desfecho de @mor pode ser considerado cruel caso o leitor não tenha em mãos sua continuação. Não tive dúvidas: avancei para Emmi & Leo – A Sétima Onda com a mesma ânsia e velocidade que virei as páginas de seu antecessor.Orelha de Livro: AdicioneEm Emmi & Leo – A Sétima Onda permanecem as brilhantes características de escrita de Daniel Glattauer, como seus comentários perspicazes e, principalmente, a intensidade de suas palavras.Aos poucos somos atualizados sobre as vidas dos protagonistas e, novamente, enfrentei meu incômodo nas situações de cada um. Ainda, em muitos momentos senti mais facilidade em simpatizar com Leo do que com Emmi, considerando-se que a personagem demonstra não saber o que quer e assim, por consequência, age de forma incoerente.Por ser similar a @mor em termos de estrutura, Emmi & Leo – A Sétima Onda talvez perca um pouco seu brilho por não mais ser uma novidade. Ainda assim, fiz uma leitura igualmente rápida, ansiando, principalmente, o desfecho da obra.Daniel Glattauer foi coerente ao enredo ao finalizá-lo e, em partes, me senti contentada com o que li. Ao mesmo tempo, por já ter iniciado a leitura da primeira parte incomodada, foi impossível esquecer esse sentimento. Assim, no resumo, tanto me encantei pelas palavras do autor quanto questionei a premissa do relacionamento virtual extremamente palpável dos personagens. Em poucas palavras, continuei sem saber minha real opinião sobre a obra.",10,@mor_@mor_1
