prompt,completion
Um livro muito bom que retrata a cruel realidade de os garotos de rua de a Bahia de a década de 30 .,livro
Uma realidade que não deve ser muito diferente hoje em dia .,
Ainda assim não me apaixonei muito por o livro .,livro
Sou um fervoroso defensor de o sexo feminino e desprezo qualquer coisa que relacione violência contra a mulher e o livro mostra um pouco de isso .,
Não que eu quisesse que o autor criasse heróis romancistas em as figuras de os garotos mas em cenas como quando Pedro-Bala estrupa uma menina que passa em a praia A A noite ou quano de os meninos tentam estrupar Dora os protagonistas despencam em o meu conceito e eu não sinto mais pena ou afeição por eles em a história .,protagonistas
Mas de um ponto de vista positivista e menos sentimental é um livro muito bom .,livro
"O enredo conta a história de os Capitães de a Areia : crianças que abandonaram suas famílias ( alguns não tinham família ) e foram morar em um trapiche , onde vivem de furto para sobreviverem .",
"A história ocorre em a Bahia , de crianças pobres em que tem ajuda de o Padre José Pedro , em que um dia fora alertado de retirar sua posição por ter ajudá - los ; e Don'Aninha , a mãe de santo de os Capitães .",
"E o mais valente de o grupo , seria Pedro Bala , atual chefe de os Capitães de a Areia , é a cabeça de o grupo , tanto em decisões como esquemas de roubos .",
[ ... ] ( continuar quando terminar de ler ),
"Minha vida toda este livro esteve em a estante de a casa de os meus pais , quando eu tinha mais ou menos 13 anos peguei ele para ler e odiei , não sei se por não compreender em a época ou por ele ser chato mesmo .",livro
"Odeio abandonar um livro , normalmente eu o leio até o fim , mesmo não gostando .",
Ainda penso em reler novamente para ver se minha opinião muda .,
"Em as noites de o trapiche , o menino ouvia o chamado de Deus",
""" Em as noites de o trapiche , o menino ouvia o chamado de Deus .",
Era uma voz poderosa dentro de ele .,
"Uma voz poderosa como a voz de o mar , como a voz de o vento que corre em torno a o casarão .",
"Será um penitente , não olhará mais o espetáculo de o mundo .",
Não quer ver nada de o que se passa em o mundo para ter os olhos suficientemente limpos para poderem ver a face de Deus .,
Porque a voz de Deus que fala em o seu coração é tão poderosa que não tem comparação .,
( Capitães da Areia - Jorge Amado ),
Resenha de o livro Capitães de areia,
Capitães da Areia conta a estória de um bando de meninos de rua que vive em as ruas de a capital bahiana em a década de 30 .,
"Esses meninos formam o grupo conhecido como Capitães da Areia e são liderados por o famoso Pedro Bala , um garoto loiro com uma enorme cicatriz em o rosto .",
Os capitães sobrevivem de pequenos furtos e golpes direcionados contra a parte mais rica de a sociedade .,
Juntos compartilham as dores de se tornarem homens antes de serem meninos e os prazeres de a liberdade de as ruas e o amor de as mulatas em as areias de a praia .,
"Reunindo - se em um trapiche abandonado perto de a praia , os meninos sobrevivem procurando manter a localização de seu covil em segredo de as autoridades .",
Capitães da Areia é um retrato vívido de a realidade de os órfãos de a capital bahiana naquela época .,
É incrível perceber que mais de setenta anos depois pouca coisa mudou em a realidade de essas crianças .,
"Gostei muito de o livro , pois retrada a realidade de os meninos de rua , alem de mostrar varios problemas de a sociedade , culturas e religioes de o local , é um livro muito gostoso de ler alem de ensinar bastante .","livro
livro"
michele araujo -1ºbranco,
Resenha de o livro Capitães de a Areia .,
