reviews,explicit aspects,fold
Um livro muito bom que retrata a cruel realidade de os garotos de rua de a Bahia de a década de 30 .,livro,1
Uma realidade que não deve ser muito diferente hoje em dia .,,1
Ainda assim não me apaixonei muito por o livro .,livro,1
Sou um fervoroso defensor de o sexo feminino e desprezo qualquer coisa que relacione violência contra a mulher e o livro mostra um pouco de isso .,,1
Não que eu quisesse que o autor criasse heróis romancistas em as figuras de os garotos mas em cenas como quando Pedro-Bala estrupa uma menina que passa em a praia A A noite ou quano de os meninos tentam estrupar Dora os protagonistas despencam em o meu conceito e eu não sinto mais pena ou afeição por eles em a história .,protagonistas,1
Mas de um ponto de vista positivista e menos sentimental é um livro muito bom .,livro,1
"O enredo conta a história de os Capitães de a Areia : crianças que abandonaram suas famílias ( alguns não tinham família ) e foram morar em um trapiche , onde vivem de furto para sobreviverem .",,1
"A história ocorre em a Bahia , de crianças pobres em que tem ajuda de o Padre José Pedro , em que um dia fora alertado de retirar sua posição por ter ajudá - los ; e Don'Aninha , a mãe de santo de os Capitães .",,1
"E o mais valente de o grupo , seria Pedro Bala , atual chefe de os Capitães de a Areia , é a cabeça de o grupo , tanto em decisões como esquemas de roubos .",,1
[ ... ] ( continuar quando terminar de ler ),,1
"Minha vida toda este livro esteve em a estante de a casa de os meus pais , quando eu tinha mais ou menos 13 anos peguei ele para ler e odiei , não sei se por não compreender em a época ou por ele ser chato mesmo .",livro,1
"Odeio abandonar um livro , normalmente eu o leio até o fim , mesmo não gostando .",,1
Ainda penso em reler novamente para ver se minha opinião muda .,,1
"Em as noites de o trapiche , o menino ouvia o chamado de Deus",,1
""" Em as noites de o trapiche , o menino ouvia o chamado de Deus .",,1
Era uma voz poderosa dentro de ele .,,1
"Uma voz poderosa como a voz de o mar , como a voz de o vento que corre em torno a o casarão .",,1
"Será um penitente , não olhará mais o espetáculo de o mundo .",,1
Não quer ver nada de o que se passa em o mundo para ter os olhos suficientemente limpos para poderem ver a face de Deus .,,1
Porque a voz de Deus que fala em o seu coração é tão poderosa que não tem comparação .,,1
( Capitães da Areia - Jorge Amado ),,1
Resenha de o livro Capitães de areia,,1
Capitães da Areia conta a estória de um bando de meninos de rua que vive em as ruas de a capital bahiana em a década de 30 .,,1
"Esses meninos formam o grupo conhecido como Capitães da Areia e são liderados por o famoso Pedro Bala , um garoto loiro com uma enorme cicatriz em o rosto .",,1
Os capitães sobrevivem de pequenos furtos e golpes direcionados contra a parte mais rica de a sociedade .,,1
Juntos compartilham as dores de se tornarem homens antes de serem meninos e os prazeres de a liberdade de as ruas e o amor de as mulatas em as areias de a praia .,,1
"Reunindo - se em um trapiche abandonado perto de a praia , os meninos sobrevivem procurando manter a localização de seu covil em segredo de as autoridades .",,1
Capitães da Areia é um retrato vívido de a realidade de os órfãos de a capital bahiana naquela época .,,1
É incrível perceber que mais de setenta anos depois pouca coisa mudou em a realidade de essas crianças .,,1
"Gostei muito de o livro , pois retrada a realidade de os meninos de rua , alem de mostrar varios problemas de a sociedade , culturas e religioes de o local , é um livro muito gostoso de ler alem de ensinar bastante .","livro
livro",1
michele araujo -1ºbranco,,1
Resenha de o livro Capitães de a Areia .,,1
"O livro Capitães da Areia de Jorge Amado conta a história de um grupo formado por crianças abandonadas , conhecido por Capitães de a Areia , que assaltam pequenas coisas ou até roubam a a mão armada , moram em um trapiche a a beira-mar , não utilizam drogas pesadas e o chefe de o grupo é Pedro Bala , em geral , vivem varias aventuras em a cidade de Salvador .",,1
"Alguns personagem se destacam com certas características , físicas ou psicológicas , como Querido-de-Deus com seu dom em a capoeira , Pirulito com sua vocação para a igreja , João Grande com uma bondade incomparável , e outros .",,1
"A injustiça social é muito destacada em a história , pois eles eram tratados de forma preconceituosa por muitos , sendo que queriam apenas atenção e carinho muitas vezes .",,1
"O enredo de a historia é cheio de dramas , conflitos , prendendo o leitor até o fim .",enredo,1
"Como a injustiça é prevalecida em o livro , muitas historias não possuem um final feliz .",,1
"Allan Ribeiro Polachini , 1° azul , n°1",,1
Surpreendeu .,,1
"Lí esse livro meio que por obrigação , mas surpreendeu .",livro,1
"Tem horas que você odeia os personagens , tem horas que você se sente mal por eles .",personagens,1
Leitura fácil .,Leitura,1
Razão de morar em Salvador,,1
"Ler livros é muito bom , a sessão de viajar e visitar novos lugares a cada nova capa , porém é mais legal ainda quando se lê sobre lugares que você conhece , lugares esses que se convive diariamente , e principalmente quando você sente a mágia citada .",,1
Obs .,,1
: Este primeiro paragrafo foi só para constar a sensação !,,1
"Capitães da Areia é uma opção de leitura agradável e dramática , se mantém um tom adulto , mas com toque moleque .","Capitães
da
Areia",1
"Seus personagens principais são crianças abandonadas e muito maltratadas por a sociedade , já que desde cedo conhecem o mundo de o sexo , e de os furtos , a complexidade de suas perspectivas perante a vida e o mundo , é que em o guiam por as ruas de a Barroquinha e por as subidas em a Ladeira de a Montanha .",,1
Mágico,,1
"Até essa data , meu livro favorecido , por a linguagem encantadora , poética .","livro
linguagem",1
"Por os personagens vivos , reais , quase que posso vê - los andando por aí .",personagens,1
"Por o cenário mágico , por a história que prende e comove , por me identificar com cada personagem , por reconhecer a minha pátria estampada em letras .","cenário
história
personagem",1
"Um livro com alma brasileira , que envolve , enriquece , um livro que transforma que o lê .",livro,1
Todo muleque de o Brasil é um capitão de Areia .,,1
RECOMENDO,,1
O melhor,,1
"Olha se você não curti muito literatura , esse é um bom livro pois a historia não é tão chata como de costume e tem um enredo que deixa preso a historia","livro
historia
enredo",1
Histórias de um velho trapiche .,,1
Capitães de areia é um romance carregado de o lirismo de Jorge Amado .,"Capitães
de
areia",1
Meu pai me presenteou pouco antes de falecer e guardo um especial carinho por este livro .,livro,1
"Contando a história de um grupo de meninos de rua de a Bahia o autor mergulha em um mundo de abandono , revolta social e ainda conta o nascimento de o amor de Pedro Bala e Dora carregado de o desejo carnal e muita ternura .","o
nascimento
de
o
amor
de
Pedro
Bala
e
Dora",1
"Os protagonistas não são heróis e sim ladrões , mentirosos , inseguros , com conflitos religiosos , órfãos de pai , de mãe , de carinho e perspectivas .",,1
"Já adaptado , mais de uma vez , para a televisão o romance ganha agora uma versão para o cinema por as mãos de a neta de o autor .",,1
Oxalá sirva para divulgar este que é um de os grandes trabalhos de Jorge Amado .,,1
A história em si é ótima .,história,1
"Embora fiquei cansativo de lê - lo em algumas partes , em geral o livro é muito bom de ser lido .","algumas
partes
livro",1
"Quando minha professora falou que iriamos ler esse livro , quis me tacar de a janela de o segundo andar .",,1
"Comecei a leitura com um grande preconceito de a história , mas com o desenrrolar de o livros as palavras e a história de Jorge Amda conseguiu me cativar de um jeito que eu não esperava .",história,1
"Mostrando o lado pobre de o Brasil , as dificuldades que os meninos de rua sofrem dia a dia e ainda conseguindo colocar uma pitada de romance , Jorge Amado me surpreendeu com sua desenvoltura de escretia que conseguiu me prender .",,1
Terminei o livro com lágrimas em os olhos e uma vontade imensa de ir correndo para o norte de o país ajudar essas crianças .,,1
